FantraxName,FantraxTeam,FantraxPosition,FantraxPlayerId,FangraphsName,FangraphsTeam,FangraphsPosition,FangraphsPlayerId
Nathan Eovaldi,TEX,SP,*01ut7*,Nathan Eovaldi,TEX,SP,9132
Mitch Keller,PIT,SP,*03d7h*,Mitch Keller,PIT,SP,17594
Framber Valdez,HOU,SP,*04auj*,Framber Valdez,HOU,SP,17295
Paul Goldschmidt,STL,1B,*01ual*,Paul Goldschmidt,STL,1B/DH,9218
Clayton Kershaw,LAD,SP,*005ih*,Clayton Kershaw,LAD,SP,2036
Yandy Diaz,TB,"1B,3B",*03m6o*,Yandy Diaz,TBR,1B/3B,16578
Merrill Kelly,ARI,SP,*02hj7*,Merrill Kelly,ARI,SP,11156
Bryan Reynolds,PIT,OF,*03e5m*,Bryan Reynolds,PIT,OF/DH,19326
Joe Ryan,MIN,SP,*04ps7*,Joe Ryan,MIN,SP,21390
Rafael Devers,BOS,3B,*030uc*,Rafael Devers,BOS,3B,17350
Ozzie Albies,ATL,2B,*03fi0*,Ozzie Albies,ATL,2B,16556
Alex Bregman,HOU,3B,*02w7p*,Alex Bregman,HOU,3B,17678
Masataka Yoshida,BOS,OF,*05rc3*,Masataka Yoshida,BOS,OF/DH,31837
Francisco Lindor,NYM,SS,*02611*,Francisco Lindor,NYM,SS,12916
Nathaniel Lowe,TEX,1B,*041xv*,Nathaniel Lowe,TEX,1B,19566
Ketel Marte,ARI,2B,*0326s*,Ketel Marte,ARI,2B/DH,13613
Kyle Tucker,HOU,OF,*03pir*,Kyle Tucker,HOU,OF,18345
Esteury Ruiz,OAK,OF,*0406v*,Esteury Ruiz,OAK,OF,21780
Spencer Steer,CIN,"1B,3B",*0512e*,Spencer Steer,CIN,1B/3B,26323
Vladimir Guerrero Jr.,TOR,1B,*03ojr*,Vladimir Guerrero Jr.,TOR,1B/DH,19611
Cedric Mullins,BAL,OF,*03qr0*,Cedric Mullins,BAL,OF,17929
Christian Yelich,MIL,OF,*025dn*,Christian Yelich,MIL,OF/DH,11477
Bobby Witt Jr.,KC,"3B,SS",*04lgp*,Bobby Witt Jr.,KCR,3B/SS,25764
Josh Jung,TEX,3B,*04y44*,Josh Jung,TEX,3B,26299
Cristian Javier,HOU,SP,*045kb*,Cristian Javier,HOU,SP,17606
Alex Verdugo,BOS,OF,*03d7g*,Alex Verdugo,BOS,OF,17027
Chris Bassitt,TOR,SP,*02c2h*,Chris Bassitt,TOR,SP,12304
Nick Castellanos,PHI,OF,*01uc9*,Nick Castellanos,PHI,OF,11737
Max Muncy,LAD,"2B,3B",*02mzg*,Max Muncy,LAD,2B/3B/DH,13301
Carlos Estevez,LAA,RP,*03mnq*,Carlos Estevez,LAA,RP,14542
Mike Trout,LAA,OF,*01s8u*,Mike Trout,LAA,OF,10155
Gleyber Torres,NYY,2B,*031t0*,Gleyber Torres,NYY,2B,16997
Julio Rodriguez,SEA,OF,*04fhb*,Julio Rodriguez,SEA,OF,23697
Josh Lowe,TB,OF,*041ah*,Josh Lowe,TBR,OF,19953
Steven Kwan,CLE,OF,*04pr1*,Steven Kwan,CLE,OF,24610
Luis Robert Jr.,CHW,OF,*047l7*,Luis Robert,CHW,OF,20043
Sean Murphy,ATL,C,*03aoy*,Sean Murphy,ATL,C/DH,19352
Luis Castillo,SEA,SP,*03nuc*,Luis Castillo,SEA,SP,15689
Nico Hoerner,CHC,"2B,SS",*04pkr*,Nico Hoerner,CHC,2B/SS,21479
Kyle Schwarber,PHI,OF,*03cag*,Kyle Schwarber,PHI,OF/DH,16478
Adley Rutschman,BAL,C,*04q2n*,Adley Rutschman,BAL,C/DH,26288
Austin Riley,ATL,3B,*03pom*,Austin Riley,ATL,3B,18360
Christian Walker,ARI,1B,*02mw3*,Christian Walker,ARI,1B,13419
Luis Arraez,MIA,"1B,2B",*03mew*,Luis Arraez,MIA,1B/2B/DH,18568
Nolan Arenado,STL,3B,*01sy3*,Nolan Arenado,STL,3B/DH,9777
Jorge Soler,MIA,OF,*02i11*,Jorge Soler,MIA,OF/DH,14221
Nolan Gorman,STL,2B,*04ai4*,Nolan Gorman,STL,2B/DH,22263
George Springer,TOR,OF,*025he*,George Springer,TOR,OF/DH,12856
J.D. Martinez,LAD,UT,*02334*,J.D. Martinez,LAD,DH,6184
Zach Eflin,TB,SP,*02mwq*,Zach Eflin,TBR,SP,13774
Lourdes Gurriel Jr.,ARI,OF,*03nri*,Lourdes Gurriel Jr.,ARI,OF/DH,19238
Logan Webb,SF,SP,*03dbm*,Logan Webb,SFG,SP,17995
Isaac Paredes,TB,"1B,2B,3B",*04071*,Isaac Paredes,TBR,1B/2B/3B,20036
Lane Thomas,WSH,OF,*03dei*,Lane Thomas,WSN,OF,16939
Brandon Nimmo,NYM,OF,*02bq2*,Brandon Nimmo,NYM,OF,12927
Jon Gray,TEX,SP,*02bxv*,Jon Gray,TEX,SP,14916
Bryce Elder,ATL,SP,*05jp9*,Bryce Elder,ATL,SP,27779
Matt Chapman,TOR,3B,*03d6s*,Matt Chapman,TOR,3B,16505
Alexis Diaz,CIN,RP,*03qqf*,Alexis Diaz,CIN,RP,21132
Sonny Gray,MIN,SP,*0260v*,Sonny Gray,MIN,SP,12768
Ryan McMahon,COL,"2B,3B",*0310n*,Ryan McMahon,COL,2B/3B,15112
Ty France,SEA,1B,*03whq*,Ty France,SEA,1B,17982
LaMonte Wade Jr.,SF,"1B,OF",*03qo2*,LaMonte Wade Jr.,SFG,1B/OF,18126
Corbin Burnes,MIL,SP,*041rd*,Corbin Burnes,MIL,SP,19361
Pablo Lopez,MIN,SP,*043f9*,Pablo Lopez,MIN,SP,17085
Jordan Romano,TOR,RP,*03di6*,Jordan Romano,TOR,RP,16122
Andrew Vaughn,CHW,"1B,OF",*04si2*,Andrew Vaughn,CHW,1B/OF/DH,26197
Camilo Doval,SF,RP,*04k0w*,Camilo Doval,SFG,RP,21992
Jonah Heim,TEX,C,*031b2*,Jonah Heim,TEX,C,16930
Justin Steele,CHC,SP,*03deg*,Justin Steele,CHC,SP,17312
Will Smith,LAD,C,*042sz*,Will Smith,LAD,C/DH,19197
Josh Naylor,CLE,1B,*03pjd*,Josh Naylor,CLE,1B/DH,18839
Alex Cobb,SF,SP,*01seh*,Alex Cobb,SFG,SP,6562
Thairo Estrada,SF,"2B,SS",*03aay*,Thairo Estrada,SFG,2B/SS/OF,16426
Zack Wheeler,PHI,SP,*01sb3*,Zack Wheeler,PHI,SP,10310
Justin Turner,BOS,"1B,3B",*01lum*,Justin Turner,BOS,3B/DH,5235
Jesus Luzardo,MIA,SP,*041r1*,Jesus Luzardo,MIA,SP,19959
Whit Merrifield,TOR,"2B,OF",*02hjk*,Whit Merrifield,TOR,2B/OF,11281
Ke'Bryan Hayes,PIT,3B,*03pji*,Ke'Bryan Hayes,PIT,3B,18577
Michael Wacha,SD,SP,*02iug*,Michael Wacha,SDP,SP,14078
Daulton Varsho,TOR,"C,OF",*04efa*,Daulton Varsho,TOR,C/OF,19918
Brent Rooker,OAK,OF,*04e2u*,Brent Rooker,OAK,OF/DH,19627
Vinnie Pasquantino,KC,1B,*05184*,Vinnie Pasquantino,KCR,1B/DH,27676
Anthony Rizzo,NYY,1B,*01sea*,Anthony Rizzo,NYY,1B,3473
Andrew McCutchen,PIT,OF,*01c1g*,Andrew McCutchen,PIT,OF/DH,9847
Dansby Swanson,CHC,SS,*03ae8*,Dansby Swanson,CHC,SS,18314
Jose Berrios,TOR,SP,*02mwk*,Jose Berrios,TOR,SP,14168
Jeremy Pena,HOU,SS,*04ppj*,Jeremy Pena,HOU,SS,21636
Ryan Mountcastle,BAL,1B,*03pjl*,Ryan Mountcastle,BAL,1B/DH,18373
Fernando Tatis Jr.,SD,"SS,OF",*03zbh*,Fernando Tatis Jr.,SDP,OF,19709
Anthony Santander,BAL,OF,*02w16*,Anthony Santander,BAL,OF/DH,14551
Jake Fraley,CIN,OF,*041qd*,Jake Fraley,CIN,OF/DH,19260
Logan Gilbert,SEA,SP,*04n0m*,Logan Gilbert,SEA,SP,22250
Tyler A. Wells,BAL,RP,*0473n*,Tyler Wells,BALL,RP,20000
Aaron Nola,PHI,SP,*02i3o*,Aaron Nola,PHI,SP,16149
Charlie Blackmon,COL,OF,*01sge*,Charlie Blackmon,COL,OF/DH,7859
Lucas Giolito,CHW,SP,*02i37*,Lucas Giolito,CHW,SP,15474
Hunter Brown,HOU,SP,*05144*,Hunter Brown,HOU,SP,25880
Jarred Kelenic,SEA,OF,*04ggr*,Jarred Kelenic,SEA,OF,22558
Salvador Perez,KC,C,*01u75*,Salvador Perez,KCR,C/DH,7304
Emmanuel Clase,CLE,RP,*04ug5*,Emmanuel Clase,CLE,RP,21032
Bryan De La Cruz,MIA,OF,*03bud*,Bryan De La Cruz,MIA,OF,19600
J.D. Davis,SF,"1B,3B",*02bu2*,J.D. Davis,SFG,1B/3B/DH,16219
Jeimer Candelario,WSH,3B,*027fx*,Jeimer Candelario,WSN,3B,13621
Xander Bogaerts,SD,SS,*025gb*,Xander Bogaerts,SDP,SS,12161
Hunter Renfroe,LAA,OF,*03022*,Hunter Renfroe,LAA,OF,15464
Miguel Vargas,LAD,"2B,3B",*04ru7*,Miguel Vargas,LAD,2B,20178
Trea Turner,PHI,SS,*02c68*,Trea Turner,PHI,SS,16252
Michael Conforto,SF,OF,*02z0t*,Michael Conforto,SFG,OF,16376
Shane Bieber,CLE,SP,*041rf*,Shane Bieber,CLE,SP,19427
Austin Hays,BAL,OF,*041qs*,Austin Hays,BAL,OF,19363
Tommy Edman,STL,"2B,SS,OF",*041sq*,Tommy Edman,STL,2B/SS/OF,19470
George Kirby,SEA,SP,*04yie*,George Kirby,SEA,SP,25436
Ian Happ,CHC,OF,*03nmw*,Ian Happ,CHC,OF,17919
Jack Suwinski,PIT,OF,*041z2*,Jack Suwinski,PIT,OF,22244
Bryson Stott,PHI,"2B,SS",*04p10*,Bryson Stott,PHI,2B/SS,26294
James Outman,LAD,OF,*04psu*,James Outman,LAD,OF,24770
Dylan Cease,CHW,SP,*03df2*,Dylan Cease,CHW,SP,18525
Eduardo Rodriguez,DET,SP,*029si*,Eduardo Rodriguez,DET,SP,13164
Adam Frazier,BAL,"2B,OF",*0316t*,Adam Frazier,BAL,2B/OF,15223
Ryan Noda,OAK,"1B,OF",*04enw*,Ryan Noda,OAK,1B,23312
Jeff McNeil,NYM,"2B,OF",*0317o*,Jeff McNeil,NYM,2B/OF,15362
Kyle Gibson,BAL,SP,*01fha*,Kyle Gibson,BAL,SP,10123
Jorge Mateo,BAL,SS,*03b6k*,Jorge Mateo,BAL,SS,17273
David Bednar,PIT,RP,*04aqc*,David Bednar,PIT,RP,19569
Joey Meneses,WSH,"1B,OF",*03et7*,Joey Meneses,WSN,1B/OF/DH,14366
Taylor Walls,TB,"2B,3B,SS",*04bpj*,Taylor Walls,TBR,2B/3B/SS,22458
Byron Buxton,MIN,OF,*02i2k*,Byron Buxton,MIN,OF/DH,14161
Harold Ramirez,TB,"1B,OF",*02i3m*,Harold Ramirez,TBR,1B/OF/DH,14387
Carlos Santana,PIT,1B,*01cfr*,Carlos Santana,PIT,1B/DH,2396
Brandon Drury,LAA,"1B,2B,3B",*02hlw*,Brandon Drury,LAA,1B/2B/3B/DH,11615
Jurickson Profar,COL,OF,*01spl*,Jurickson Profar,COL,OF,10815
Luke Raley,TB,"1B,OF",*041ts*,Luke Raley,TBR,1B/OF,19354
Paul Sewald,SEA,RP,*02n2x*,Paul Sewald,SEA,RP,13892
MacKenzie Gore,WSH,SP,*04cd5*,MacKenzie Gore,WSN,SP,22201
Jake Cronenworth,SD,"1B,2B",*03qmh*,Jake Cronenworth,SDP,1B/2B,18036
Alec Bohm,PHI,"1B,3B",*04mn5*,Alec Bohm,PHI,1B/3B,21618
Starling Marte,NYM,OF,*01s9k*,Starling Marte,NYM,OF,9241
Anthony Volpe,NYY,SS,*04y9p*,Anthony Volpe,NYY,SS,27647
Charlie Morton,ATL,SP,*005jn*,Charlie Morton,ATL,SP,4676
Geraldo Perdomo,ARI,SS,*04pbq*,Geraldo Perdomo,ARI,SS,22799
David Robertson,NYM,RP,*005m0*,David Robertson,NYM,RP,8241
Rich Hill,PIT,SP,*0008c*,Rich Hill,PIT,SP,4806
Chris Sale,BOS,SP,*01uca*,Chris Sale,BOS,SP,10603
Luis Garcia,WSH,"2B,SS",*0414g*,Luis Garcia,WSN,2B/SS,20391
Yu Darvish,SD,SP,*01c5l*,Yu Darvish,SDP,SP,13074
Andrew Benintendi,CHW,OF,*03pdw*,Andrew Benintendi,CHW,OF,17901
Miles Mikolas,STL,SP,*02h9r*,Miles Mikolas,STL,SP,9803
Brian Anderson,MIL,"3B,OF",*02c63*,Brian Anderson,MIL,3B/OF,18289
Riley Greene,DET,OF,*04nb2*,Riley Greene,DET,OF,25976
Elias Diaz,COL,C,*03fhx*,Elias Diaz,COL,C,11680
Joey Wiemer,MIL,OF,*05jq3*,Joey Wiemer,MIL,OF,27690
Leody Taveras,TEX,OF,*03pzo*,Leody Taveras,TEX,OF,18900
Freddy Peralta,MIL,SP,*03dc4*,Freddy Peralta,MIL,SP,18679
Martin Perez,TEX,SP,*01fhm*,Martin Perez,TEX,SP,6902
Kodai Senga,NYM,SP,*04a2t*,Kodai Senga,NYM,SP,31838
Cody Bellinger,CHC,OF,*03120*,Cody Bellinger,CHC,OF,15998
Willson Contreras,STL,C,*03oh0*,Willson Contreras,STL,C/DH,11609
Josh Hader,SD,RP,*02n96*,Josh Hader,SDP,RP,14212
Ha-seong Kim,SD,"2B,3B,SS",*05ajg*,Ha-seong Kim,SDP,2B/3B/SS,27506
Jason Adam,TB,RP,*025it*,Jason Adam,TBR,RP,11861
Taylor Ward,LAA,OF,*03pje*,Taylor Ward,LAA,OF,17548
Drew Smyly,CHC,SP,*025ej*,Drew Smyly,CHC,SP,11760
Enrique Hernandez,BOS,"SS,OF",*02h98*,Enrique Hernandez,BOS,SS/OF,10472
Craig Kimbrel,PHI,RP,*01scl*,Craig Kimbrel,PHI,RP,6655
J.P. Crawford,SEA,SS,*0310z*,J.P. Crawford,SEA,SS,15491
Yusei Kikuchi,TOR,RP,*04ml0*,Yusei Kikuchi,TOR,SP,20633
Edward Cabrera,MIA,SP,*04ali*,Edward Cabrera,MIA,SP,21690
Spencer Torkelson,DET,1B,*04yk2*,Spencer Torkelson,DET,1B,27465
Ji-Hwan Bae,PIT,"2B,OF",*04lcq*,,,,
Devin Williams,MIL,RP,*0311c*,Devin Williams,MIL,RP,15816
J.T. Realmuto,PHI,C,*025i9*,J.T. Realmuto,PHI,C,11739
Teoscar Hernandez,SEA,OF,*02xic*,Teoscar Hernandez,SEA,OF/DH,13066
Connor Joe,PIT,"1B,OF",*03d6y*,Connor Joe,PIT,1B/OF/DH,16572
Yennier Cano,BAL,RP,*050ok*,Yennier Cano,BAL,RP,25911
Brendan Donovan,STL,"1B,2B,3B,OF",*04pse*,Brendan Donovan,STL,1B/2B/3B/OF,24679
Marcell Ozuna,ATL,OF,*01usi*,Marcell Ozuna,ATL,OF/DH,10324
Dean Kremer,BAL,SP,*041yb*,Dean Kremer,BAL,SP,19350
Andres Gimenez,CLE,2B,*03pzn*,Andres Gimenez,CLE,2B,19950
Brandon Marsh,PHI,OF,*041q8*,Brandon Marsh,PHI,OF,20202
Willy Adames,MIL,SS,*03atq*,Willy Adames,MIL,SS,15986
Rowdy Tellez,MIL,1B,*032gq*,Rowdy Tellez,MIL,1B,15679
Michael Kopech,CHW,SP,*03d6v*,Michael Kopech,CHW,SP,17282
Patrick Wisdom,CHC,3B,*02mws*,Patrick Wisdom,CHC,3B/OF,13602
Mauricio Dubon,HOU,"2B,SS,OF",*03aqw*,Mauricio Dubon,HOU,2B/SS/OF,16530
Andrew Heaney,TEX,SP,*02mv0*,Andrew Heaney,TEX,SP,15423
Josiah Gray,WSH,SP,*04pn3*,Josiah Gray,WSN,SP,24580
Robbie Grossman,TEX,OF,*01seb*,Robbie Grossman,TEX,OF/DH,5254
Kevin Kiermaier,TOR,OF,*0381o*,Kevin Kiermaier,TOR,OF,11038
Hunter Greene,CIN,SP,*04aea*,Hunter Greene,CIN,SP,22182
Jake Burger,CHW,3B,*04azv*,Jake Burger,CHW,3B/DH,22275
Tyler Stephenson,CIN,C,*03pix*,Tyler Stephenson,CIN,C/DH,17988
Eugenio Suarez,SEA,3B,*02jh6*,Eugenio Suarez,SEA,3B/DH,12552
Zach McKinstry,DET,"2B,3B,OF",*0473m*,Zach McKinstry,DET,2B/3B/OF,19392
CJ Abrams,WSH,SS,*04qk8*,CJ Abrams,WSN,SS,25768
Keibert Ruiz,WSH,C,*03rmz*,Keibert Ruiz,WSN,C,19610
Andrew Chafin,ARI,RP,*02bqd*,Andrew Chafin,ARI,RP,12988
Lars Nootbaar,STL,OF,*04pt2*,Lars Nootbaar,STL,OF,21454
Owen Miller,MIL,"1B,2B,3B",*04ppl*,Owen Miller,MIL,1B/2B/3B/DH,24655
Cal Raleigh,SEA,C,*04my4*,Cal Raleigh,SEA,C,21534
Max Scherzer,NYM,SP,*004ee*,Max Scherzer,NYM,SP,3137
Alex Lange,DET,RP,*03yui*,Alex Lange,DET,RP,19883
Jack Flaherty,STL,SP,*03d6w*,Jack Flaherty,STL,SP,17479
Gunnar Henderson,BAL,"3B,SS",*050w9*,Gunnar Henderson,BAL,3B,26289
Ezequiel Tovar,COL,SS,*04mra*,Ezequiel Tovar,COL,SS,24064
Amed Rosario,CLE,SS,*02yh5*,Amed Rosario,CLE,SS,15518
Javier Baez,DET,SS,*026mn*,Javier Baez,DET,SS,12979
Gio Urshela,LAA,"1B,3B",*026rz*,Gio Urshela,LAA,1B/3B,10681
Brandon Lowe,TB,2B,*03qjy*,Brandon Lowe,TBR,2B,18882
Will Smith,TEX,RP,*01skh*,Will Smith,TEX,RP,8048
MJ Melendez,KC,"C,OF",*04eey*,MJ Melendez,KCR,C/OF/DH,22197
Ezequiel Duran,TEX,"3B,SS,OF",*04nqx*,Ezequiel Duran,TEX,3B/SS,23733
Anthony DeSclafani,SF,SP,*02but*,Anthony DeSclafani,SFG,SP,13050
Taijuan Walker,PHI,SP,*025dq*,Taijuan Walker,PHI,SP,11836
Tanner Scott,MIA,RP,*03dfa*,Tanner Scott,MIA,RP,17586
Corey Seager,TEX,SS,*02mw6*,Corey Seager,TEX,SS,13624
Alex Call,WSH,OF,*041qv*,Alex Call,WSN,OF,19296
Mark Canha,NYM,OF,*025eo*,Mark Canha,NYM,OF,11445
William Contreras,MIL,C,*03yrz*,William Contreras,MIL,C/DH,20503
Eddie Rosario,ATL,OF,*025f7*,Eddie Rosario,ATL,OF,12155
Seiya Suzuki,CHC,OF,*04b02*,Seiya Suzuki,CHC,OF,30116
Erik Swanson,TOR,RP,*03dgs*,Erik Swanson,TOR,RP,16587
Myles Straw,CLE,OF,*03qqb*,Myles Straw,CLE,OF,17620
Carlos Correa,MIN,SS,*02i2q*,Carlos Correa,MIN,SS,14162
Jordan Montgomery,STL,SP,*03dbo*,Jordan Montgomery,STL,SP,16511
Nick Senzel,CIN,"3B,OF",*03zc9*,Nick Senzel,CIN,3B/OF,19293
Jose Siri,TB,OF,*039vx*,Jose Siri,TBR,OF,17452
Kenley Jansen,BOS,RP,*01svz*,Kenley Jansen,BOS,RP,3096
Josh Bell,CLE,1B,*026lz*,Josh Bell,CLE,1B/DH,13145
TJ Friedl,CIN,OF,*045gu*,T.J. Friedl,CIN,OF,19522
Michael A. Taylor,MIN,OF,*02h9j*,Michael A. Taylor,MIN,OF,11489
Triston Casas,BOS,1B,*04de1*,Triston Casas,BOS,1B,22514
Kris Bryant,COL,OF,*01ubo*,Kris Bryant,COL,OF/DH,15429
Jarren Duran,BOS,OF,*04pst*,Jarren Duran,BOS,OF,24617
Dominic Smith,WSH,1B,*02z96*,Dominic Smith,WSN,1B,15653
Nestor Cortes Jr.,NYY,SP,*03bin*,Nestor Cortes,NYY,SP,17874
Trent Grisham,SD,OF,*03pit*,Trent Grisham,SDP,OF,18564
Shea Langeliers,OAK,C,*04o4s*,Shea Langeliers,OAK,C/DH,25816
Clay Holmes,NYY,RP,*02bx4*,Clay Holmes,NYY,RP,13649
DJ LeMahieu,NYY,"1B,2B,3B",*01sfi*,DJ LeMahieu,NYY,1B/2B/3B,9874
Johan Oviedo,PIT,SP,*04674*,Johan Oviedo,PIT,SP,22487
Julio Urias,LAD,SP,*02vl6*,Julio Urias,LAD,SP,14765
Bryan Abreu,HOU,RP,*04tlv*,Bryan Abreu,HOU,RP,16609
Manny Machado,SD,3B,*01svq*,Manny Machado,SDP,3B,11493
Chris Taylor,LAD,"2B,3B,SS,OF",*02u47*,Chris Taylor,LAD,2B/SS/OF,13757
Dane Dunning,TEX,SP,*041m9*,Dane Dunning,TEX,SP,19409
Orlando Arcia,ATL,"2B,SS",*02i1q*,Orlando Arcia,ATL,2B/SS,13185
Jace Peterson,OAK,"2B,3B",*02bqo*,Jace Peterson,OAK,3B,12325
Domingo German,NYY,SP,*03c97*,Domingo German,NYY,SP,17149
Edward Olivares,KC,OF,*04c8q*,Edward Olivares,KCR,OF,19698
Logan Allen,CLE,SP,*05jp3*,Logan Allen,CLE,SP,27589
Kyle Finnegan,WSH,RP,*031bl*,Kyle Finnegan,WSN,RP,15009
Lance Lynn,CHW,SP,*01s94*,Lance Lynn,CHW,SP,2520
Blake Snell,SD,SP,*02bqr*,Blake Snell,SDP,SP,13543
Jhoan Duran,MIN,RP,*04apj*,Jhoan Duran,MIN,RP,21029
Kevin Newman,CIN,"2B,3B,SS",*03pj2*,Kevin Newman,CIN,2B/SS,17696
Kendall Graveman,CHW,RP,*031c2*,Kendall Graveman,CHW,RP,15514
Josh Rojas,ARI,"2B,3B",*04oct*,Josh Rojas,ARI,2B/3B,19734
Luis Rengifo,LAA,"2B,3B",*03avk*,Luis Rengifo,LAA,2B/3B/SS,19858
Hector Neris,HOU,RP,*03h90*,Hector Neris,HOU,RP,11804
Zach Neto,LAA,SS,*05xu5*,Zach Neto,LAA,SS,31347
Nick Martinez,SD,RP,*02c4q*,Nick Martinez,SDP,SP/RP,12730
Francisco Alvarez,NYM,C,*04qnc*,Francisco Alvarez,NYM,C,26121
Ramon Laureano,OAK,OF,*03dp8*,Ramon Laureano,OAK,OF,17128
Sandy Alcantara,MIA,SP,*03btv*,Sandy Alcantara,MIA,SP,18684
Joey Gallo,MIN,"1B,OF",*02i3v*,Joey Gallo,MIN,1B/OF,14128
Mark Leiter Jr.,CHC,RP,*0319c*,Mark Leiter Jr.,CHC,RP,15551
Patrick Corbin,WSH,SP,*01xfr*,Patrick Corbin,WSN,SP,9323
Corey Julks,HOU,OF,*04eit*,Corey Julks,HOU,OF,20311
Ryan Pressly,HOU,RP,*02zif*,Ryan Pressly,HOU,RP,7005
Mike Yastrzemski,SF,OF,*031dw*,Mike Yastrzemski,SFG,OF,14854
Bailey Ober,MIN,SP,*0425t*,Bailey Ober,MIN,SP,21224
Drew Rasmussen,TB,SP,*04eee*,Drew Rasmussen,TBR,SP,25385
Miguel Castro,ARI,RP,*0351m*,Miguel Castro,ARI,RP,15684
Kyle Freeland,COL,SP,*03ca3*,Kyle Freeland,COL,SP,16256
Jazz Chisholm Jr.,MIA,"2B,OF",*045qo*,Jazz Chisholm Jr.,MIA,2B/OF,20454
Dustin May,LAD,SP,*041r5*,Dustin May,LAD,SP,19716
Rodolfo Castro,PIT,"2B,3B,SS",*042c1*,Rodolfo Castro,PIT,2B/3B/SS,21987
Will Brennan,CLE,OF,*05165*,Will Brennan,CLE,OF,25660
Evan Phillips,LAD,RP,*03qto*,Evan Phillips,LAD,RP,17734
Anthony Rendon,LAA,3B,*01tt9*,Anthony Rendon,LAA,3B,12861
Manuel Margot,TB,OF,*02i3d*,Manuel Margot,TBR,OF,14712
Paul DeJong,STL,SS,*03qkh*,Paul DeJong,STL,SS,18015
Yuli Gurriel,MIA,1B,*025jv*,Yuli Gurriel,MIA,1B,19198
Pavin Smith,ARI,OF,*04alq*,Pavin Smith,ARI,OF/DH,19892
Jake Meyers,HOU,OF,*04emt*,Jake Meyers,HOU,OF,20308
Stuart Fairchild,CIN,OF,*04eel*,Stuart Fairchild,CIN,OF,20321
Akil Baddoo,DET,OF,*041qi*,Akil Baddoo,DET,OF,22168
J.P. Sears,OAK,SP,*04eld*,JP Sears,OAK,SP,23429
Kyle Bradish,BAL,SP,*04pq4*,Kyle Bradish,BAL,SP,24586
Michael Lorenzen,DET,SP,*02hir*,Michael Lorenzen,DET,SP,14843
Yasmani Grandal,CHW,C,*01uqq*,Yasmani Grandal,CHW,C/DH,11368
Jon Berti,MIA,"2B,3B,SS,OF",*02c4r*,Jon Berti,MIA,2B/3B/SS/OF,12037
Jason Heyward,LAD,OF,*01c5o*,Jason Heyward,LAD,OF,4940
Louie Varland,MIN,SP,*051bm*,Louie Varland,MIN,SP,27691
Jose Abreu,HOU,1B,*02i2e*,Jose Abreu,HOU,1B/DH,15676
Willi Castro,MIN,"2B,3B,OF",*03btu*,Willi Castro,MIN,2B/3B/SS/OF,17338
Alejandro Kirk,TOR,C,*04t3y*,Alejandro Kirk,TOR,C/DH,22581
Nick Anderson,ATL,RP,*04sxl*,Nick Anderson,ATL,RP,18337
Tim Anderson,CHW,SS,*03110*,Tim Anderson,CHW,SS,15172
Giovanny Gallegos,STL,RP,*03mul*,Giovanny Gallegos,STL,RP,14986
Joel Payamps,MIL,RP,*03aru*,Joel Payamps,MIL,RP,14332
Braxton Garrett,MIA,SP,*041e3*,Braxton Garrett,MIA,SP,21844
